Date,2026-02-23,Net Asset,11514934095.0

Stock Code,Stock Name,Shares,Weight,Close Price,Market Value,Share Change,Net Amount
2330,台灣積體電路製造,563000.0,9.29%,1900.0,1069700000.0,0.0,0.0
2308,台達電子工業,383000.0,4.34%,1305.0,499815000.0,0.0,0.0
2317,鴻海精密工業,2004000.0,3.98%,228.5,457914000.0,0.0,0.0
2454,聯發科技,209000.0,3.26%,1795.0,375155000.0,0.0,0.0
7769,鴻勁精密,83000.0,3.17%,4400.0,365200000.0,0.0,0.0
2368,金像電子（股）公司,365000.0,2.59%,818.0,298570000.0,0.0,0.0
3017,奇鋐科技,194000.0,2.56%,1520.0,294880000.0,0.0,0.0
2891,中國信託金融控股,5270000.0,2.47%,53.9,284053000.0,0.0,0.0
6669,緯穎科技服務,74000.0,2.45%,3820.0,282680000.0,0.0,0.0
2345,智邦科技,201000.0,2.44%,1400.0,281400000.0,0.0,0.0
2382,廣達電腦,967000.0,2.38%,283.5,274144500.0,0.0,0.0
2383,台光電子材料,123000.0,2.32%,2175.0,267525000.0,0.0,0.0
2344,華邦電子,2311000.0,2.31%,115.0,265765000.0,0.0,0.0
2059,川湖科技,79000.0,2.08%,3030.0,239370000.0,0.0,0.0
3665,貿聯控股（BizLink Holding In,177336.0,1.99%,1290.0,228763440.0,0.0,0.0
8210,勤誠興業,256000.0,1.98%,890.0,227840000.0,0.0,0.0
2408,南亞科技,764000.0,1.92%,289.0,220796000.0,0.0,0.0
3653,健策精密工業,64000.0,1.71%,3080.0,197120000.0,0.0,0.0
6223,旺矽科技,69000.0,1.68%,2805.0,193545000.0,0.0,0.0
2881,富邦金融控股,1989575.0,1.65%,95.7,190402327.5,0.0,0.0
2360,致茂電子,164000.0,1.64%,1155.0,189420000.0,0.0,0.0
2884,玉山金融控股,5387622.0,1.63%,34.85,187758626.70000002,0.0,0.0
3036,文曄科技,1043000.0,1.61%,177.5,185132500.0,0.0,0.0
3231,緯創資通,1420000.0,1.6%,129.5,183890000.0,0.0,0.0
2449,京元電子,559000.0,1.54%,316.5,176923500.0,0.0,0.0
6274,台燿科技,327000.0,1.53%,539.0,176253000.0,0.0,0.0
6515,穎崴科技,37000.0,1.51%,4695.0,173715000.0,0.0,0.0
8299,群聯電子,87000.0,1.45%,1925.0,167475000.0,0.0,0.0
6805,富世達,107000.0,1.38%,1480.0,158360000.0,0.0,0.0
3044,健鼎科技,411000.0,1.38%,385.5,158440500.0,0.0,0.0
6442,光紅建聖,71000.0,1.25%,2035.0,144485000.0,0.0,0.0
8996,高力熱處理工業,159000.0,1.21%,879.0,139761000.0,0.0,0.0
3264,欣銓科技,936000.0,1.21%,149.0,139464000.0,0.0,0.0
5234,達興材料,333000.0,1.18%,409.5,136363500.0,0.0,0.0
1519,華城電機,122000.0,1.02%,966.0,117852000.0,0.0,0.0
1477,聚陽實業,357000.0,1%,322.0,114954000.0,0.0,0.0
3443,創意電子,48000.0,0.99%,2370.0,113760000.0,0.0,0.0
2379,瑞昱半導體,236000.0,0.98%,476.0,112336000.0,0.0,0.0
3293,鈊象電子,160000.0,0.95%,681.0,108960000.0,0.0,0.0
1590,亞德客國際集團,88000.0,0.9%,1175.0,103400000.0,0.0,0.0
5434,崇越科技,285000.0,0.83%,336.0,95760000.0,0.0,0.0
6510,中華精測科技,25000.0,0.83%,3840.0,96000000.0,0.0,0.0
4915,致伸科技,1162000.0,0.82%,81.6,94819200.0,0.0,0.0
6584,南俊國際,209000.0,0.79%,435.0,90915000.0,0.0,0.0
3526,凡甲科技,313000.0,0.77%,283.0,88579000.0,0.0,0.0
5904,寶雅國際,175450.0,0.7%,458.0,80356100.0,0.0,0.0
2376,技嘉科技,323000.0,0.64%,227.0,73321000.0,0.0,0.0
2027,大成不銹鋼工業,1772000.0,0.57%,37.05,65652599.99999999,0.0,0.0
2327,國巨,192000.0,0.47%,281.5,54048000.0,0.0,0.0
4749,新應材,55000.0,0.42%,878.0,48290000.0,0.0,0.0
